,Feature,IV_value
0,duration_bins,1.56
1,poutcome_label_encoded,0.51
2,month_label_encoded,0.44
3,contact_label_encoded,0.3
4,cluster_predicted,0.28
5,pdays_half_yearly_bins,0.24
6,prev_engagement_category,0.22
7,new_customers,0.22
8,housing_label_encoded,0.19
9,age_group,0.18
10,job_label_encoded,0.16
11,day,0.12
12,balance_category,0.09
13,current_engagement_bins,0.08
14,education_label_encoded,0.05
15,loan_label_encoded,0.05
16,marital_label_encoded,0.04
17,default_label_encoded,0.01
18,is_second_half_of_month,0.01
